group,arch,subset,ntasks,trait,n,canonical_r2,pearson_r,bf10_greater,perm_p,bf10_twosided
wm,idrnn,t01,2,WM_composite,177,0.014259451330068007,0.12126871402933594,0.640731419461869,0.05299470052994701,0.3389841276757498
wm,idrnn,t01,2,WM_WMU,177,0.018206032175300257,0.13551087457843491,0.9008065080017169,0.039996000399960006,0.46764196288305127
wm,idrnn,t01,2,WM_SS,177,0.011527989074304634,0.11079105319717197,0.5082323837208115,0.0715928407159284,0.27388164359789896
wm,idrnn,t02,2,WM_composite,177,0.09612675710279373,0.3101416121117312,1187.8797321821125,9.999000099990002e-05,593.9486215170158
wm,idrnn,t02,2,WM_WMU,177,0.10403519944909068,0.3226511508280675,2542.9287268196367,9.999000099990002e-05,1271.4728102786075
wm,idrnn,t02,2,WM_SS,177,0.10601952512930701,0.325665874832708,3071.857697576276,9.999000099990002e-05,1535.9372243996763
wm,idrnn,t12,2,WM_composite,177,0.1525254764308287,0.3905617639956358,311732.78691649437,9.999000099990002e-05,155866.4005397518
wm,idrnn,t12,2,WM_WMU,177,0.1299103883070838,0.3608290523524934,32812.05654654096,9.999000099990002e-05,16406.035896002897
wm,idrnn,t12,2,WM_SS,177,0.17648087199549067,0.4203748347360549,3813593.0556630255,9.999000099990002e-05,1906796.5344406078
wm,idrnn,t012,3,WM_composite,177,0.11569070016373562,0.3401400802657924,7846.700344827824,9.999000099990002e-05,3923.3582214303124
wm,idrnn,t012,3,WM_WMU,177,0.11780447143535233,0.3432561917042594,9666.86019630534,9.999000099990002e-05,4833.438080046021
wm,idrnn,t012,3,WM_SS,177,0.1106452800842056,0.3326361539753348,4794.85333841143,9.999000099990002e-05,2397.4348844147376
wm,vanilla,t0,1,WM_composite,177,-0.005348608628796381,0.006800478609053204,0.10117209922032004,0.46085391460853914,0.09444908645656987
wm,vanilla,t0,1,WM_WMU,177,0.008394092941218623,0.09817894398791324,0.3923243666642866,0.0978902109789021,0.2174847590719119
wm,vanilla,t0,1,WM_SS,177,0.004014154990900298,0.06490781734680637,0.21778325070406562,0.19018098190180982,0.1355528689024114
wm,vanilla,t1,1,WM_composite,177,0.003325049743972519,0.07268028655048567,0.24707806092598772,0.1730826917308269,0.14875980422000024
wm,vanilla,t1,1,WM_WMU,177,0.004017439504119591,0.07697839485264647,0.2656858723888956,0.1611838816118388,0.15732343158061984
wm,vanilla,t1,1,WM_SS,177,-0.015780729315960418,-0.421962224839946,0.013171329163014889,1.0,2194731.030724374
wm,vanilla,t2,1,WM_composite,177,0.10590980842006914,0.328440201146779,3662.3422605247283,9.999000099990002e-05,1831.1794413134564
wm,vanilla,t2,1,WM_WMU,177,0.12502884264662872,0.3542112570940122,20519.2845960943,9.999000099990002e-05,10259.650052306526
wm,vanilla,t2,1,WM_SS,177,0.11476783506970034,0.342803176055573,9376.68745085109,9.999000099990002e-05,4688.351717009981
wm,vanilla,t01,2,WM_composite,177,-0.010827635932742163,-0.04901423912646787,0.060168205038741596,0.7414258574142586,0.11583618361555825
wm,vanilla,t01,2,WM_WMU,177,-0.009006550948324143,-0.022518426344071096,0.07542506092342938,0.6258374162583742,0.09829229041756805
wm,vanilla,t01,2,WM_SS,177,-0.013009942365888927,-0.12324406958637171,0.036830801778008904,0.9621037896210379,0.3536751684855575
wm,vanilla,t02,2,WM_composite,177,0.038232779285275686,0.1992037126182884,6.226413268838606,0.0036996300369963003,3.126041181472211
wm,vanilla,t02,2,WM_WMU,177,0.042850851085046826,0.22987943961924115,20.613365020717062,0.0010998900109989002,10.31807268670233
wm,vanilla,t02,2,WM_SS,177,0.05700425718762003,0.2432555634658607,36.838032286006595,0.0017998200179982,18.429868335521622
wm,vanilla,t12,2,WM_composite,177,0.03915876358590831,0.2002028415603206,6.455450142436339,0.0032996700329967,3.240507232223081
wm,vanilla,t12,2,WM_WMU,177,0.04259597944039417,0.20639233581781194,8.108761598950167,0.0029997000299970002,4.066847114093712
wm,vanilla,t12,2,WM_SS,177,0.01734847625929814,0.13206929975892462,0.8272884944286591,0.037696230376962306,0.43119917138458613
wm,vanilla,t012,3,WM_composite,177,0.0699629153313932,0.27541887767849177,173.2898552055071,0.00029997000299970003,86.65466446299978
wm,vanilla,t012,3,WM_WMU,177,0.0725829907837855,0.2817171975646081,240.84585691185254,0.00019998000199980003,120.43247203183601
wm,vanilla,t012,3,WM_SS,177,0.07402893268448951,0.29114007587031876,400.61253414244396,0.00019998000199980003,200.31553478143934
