subid,nll_idrnn_all,nll_cp_rnn_all,nll_vanilla_all,nll_cog_em,nll_cog_cp,nll_ill_em,nll_ill_cp
147,0.7098806019999999,0.7266481020000001,0.695044678,0.7415397280006768,0.7409819321868938,0.8373678476531979,0.8647019156443948
149,0.6481158459999999,0.655117908,0.6536127,0.6772621449952614,0.7186952020753467,0.8456198159995914,0.8645212208882397
151,0.863163984,0.9141279579999999,0.8474315819999999,0.8054647078942998,0.9119865422359033,0.8139184509025963,0.8319138456450961
154,0.5533218520000001,0.566412166,0.54715231,0.6515910584504877,0.6941841875146773,0.7074391583614749,0.7051219349228165
156,0.635882422,0.623327996,0.6404467439999999,0.7541397732242834,0.7787979552274668,0.8260576348368731,0.8503256592636805
161,0.673654024,0.68847221,0.672138126,0.6688371706014449,0.7431590293825404,0.709556438286356,0.7088763121811994
162,0.62813754,0.6249604919999999,0.6319486480000001,0.7436481423491613,0.7404752022380084,0.7699054818158343,0.772960679937245
163,0.42722747200000005,0.40687902400000003,0.414470124,0.5228552684699671,0.5389643882971732,0.5318051253799386,0.5695830523792429
165,0.5203406960000001,0.514956628,0.51490682,0.635744022896011,0.634048076753183,0.653530664697769,0.6560231640602319
166,0.7087786140000001,0.71789242,0.688755166,0.7781600050553623,0.8142248534917796,0.8129752514646781,0.8257291778339197
167,0.858095664,0.8951417960000001,0.86103952,0.8674286241669404,0.9604532425166435,0.990038977086414,1.1576905257057362
168,0.924362032,0.960910578,0.903335252,0.946723475890348,0.9975103350617418,0.914141406107908,1.019416227237837
169,0.664957516,0.681796638,0.664157448,0.7317159766711204,0.7932060872654046,0.7509790833879882,0.7522283354558427
170,0.7347939,0.751505062,0.689777824,0.7243354355505174,0.8042991560002597,0.8002749857678677,0.8118061472459154
171,0.5065392799999999,0.509328276,0.48406605,0.5909158925938436,0.6042056375142181,0.7259648061334181,0.7244794776473118
172,0.7061129239999999,0.728078742,0.7030834,0.7731716689543914,0.7951416258096681,0.8416691747095548,0.8851348924456651
175,0.37294768,0.35680493599999996,0.372744644,0.4958870849170451,0.5206921966007713,0.5369949361458137,0.5824605160601852
176,0.689297144,0.710949846,0.683537508,0.7392514667761163,0.7988753123677422,0.734733902982835,0.7342173014902712
177,0.50558404,0.504265396,0.513075696,0.549166781755552,0.5993042883278459,0.6129280868019811,0.6200027270687465
180,0.406662238,0.39894524000000003,0.372606846,0.5560077224119832,0.5698049969940344,0.632906556451929,0.6448607768830857
181,0.285298592,0.300459832,0.24362270600000002,0.3753423712757411,0.4567863641812589,0.575376588424222,0.6213549840302591
182,0.5779749279999999,0.571738174,0.5514554979999999,0.6023379529216553,0.6133981206767253,0.676475386107117,0.6756688815771245
183,0.56356759,0.574415996,0.57297537,0.6054157730922503,0.6523384267089946,0.6965614752693062,0.6967917521909295
185,0.45171335,0.437766374,0.419702746,0.5833012816656133,0.5993698199380947,0.6518654111412271,0.6597499201318984
186,0.569147418,0.565185292,0.543619316,0.585955893944279,0.6815487756611135,0.7857034831693263,0.7960355061983639
187,0.627973578,0.646662278,0.599021368,0.6303274121768033,0.6609563797950991,0.7576537301246198,0.7591548048571951
188,0.474919988,0.46134794,0.444402794,0.6259437377223488,0.6293297125052781,0.7252093511050504,0.7266629641840089
189,0.488135388,0.493575238,0.452678388,0.5593108766995626,0.569142379520634,0.7243659520475528,0.7215572635611998
190,0.52333409,0.53181316,0.532797328,0.5736848066642737,0.5997608620645666,0.5953547624940677,0.609779764902156
191,0.701118738,0.707609288,0.6788023599999999,0.7457602824396948,0.7557714056893233,0.7921357731124384,0.832631875246772
193,0.719664164,0.735639574,0.696663212,0.7366232519574148,0.8130490163273262,0.8024866109378235,0.8190301016149001
195,0.5264438520000001,0.520751412,0.482900166,0.6456482241235836,0.6450835574297981,0.6764939518345285,0.6881330434122578
197,0.544651132,0.55153921,0.5126347920000001,0.7231598983231391,0.732303915948878,0.7613837491060612,0.7785709806632182
198,0.5364192360000001,0.520776008,0.5030275200000001,0.5998562549603532,0.6300895590916816,0.5926012204557733,0.6256180566559358
199,0.578144202,0.574723644,0.579541432,0.586683427924925,0.646481918311119,0.6181253622245347,0.6326837847831316
200,0.431373634,0.434980776,0.408907896,0.6169680170735301,0.6144181973664206,0.6973190121875237,0.6976507851399579
201,0.636335962,0.63643604,0.615498472,0.7330830083242169,0.7287595664526048,0.7893660681537139,0.801828239237911
202,0.5576188500000001,0.586658512,0.5372489060000001,0.6464705543151371,0.688082573619613,0.8056671292467569,0.8798724039416792
203,0.974839408,1.0204831200000002,0.960998608,0.9435111566501058,1.020086903390138,0.9032401759412756,1.0844760987012214
204,0.569963218,0.573000788,0.57618485,0.6038117496873147,0.6454955461419473,0.7124876387203815,0.7116241183401899
205,0.3646835,0.35404663200000003,0.32113418,0.5216278950006271,0.5509419680880504,0.5685239765605932,0.6086541264593224
206,0.489735336,0.511443428,0.47282394400000005,0.5122573393603175,0.5555854402421068,0.6968136526364329,0.6962789571104083
207,0.790247066,0.8208235479999999,0.78792957,0.8616100141504037,0.8808843889779104,0.8470553242230825,0.8918353591881198
208,0.63959629,0.633970228,0.628040794,0.7163117461372466,0.7441252267824875,0.8508510570808467,0.8800746005894228
209,0.45496124,0.457090904,0.421186586,0.5844287619938099,0.597852055437419,0.6243609179455464,0.6431252625925847
210,0.7081642020000001,0.7365946959999999,0.697919888,0.7366770696653361,0.7739340185995188,0.7771362333053743,0.7834047135628298
213,0.6564084859999999,0.66075719,0.6399452099999999,0.7136211542500015,0.7352209075717192,0.8524696391772825,0.9035792149509304
214,0.535313206,0.552144612,0.511438172,0.5966321629922152,0.6093908509388591,0.6867275466296194,0.6994115857465768
215,0.5708136859999999,0.572740852,0.59919504,0.5864060713021582,0.656462418902986,0.6555249868288283,0.6530473168895288
216,0.35103650599999997,0.344231532,0.352099192,0.4752190351848628,0.5095098847446765,0.6130284258467407,0.6303612674842848
218,0.451236882,0.43944918600000005,0.41491478800000003,0.3970860141197694,0.491532375076351,0.5600800866050469,0.584955998132433
219,0.554386038,0.5601638579999999,0.542586774,0.6088815043768406,0.6579700252991442,0.6642411828632879,0.6738539558593171
220,0.5850349699999999,0.5853489,0.55183702,0.6157730690897171,0.6348951525708527,0.682150016181376,0.6944216792479626
221,0.564285362,0.60253177,0.532198494,0.5491791131757251,0.7219002957222334,0.7196274729238504,0.8380664021486446
222,0.632885228,0.640662502,0.61551706,0.7808191773308075,0.8144958269920463,0.8164647017743921,0.8324758350132286
226,0.595812934,0.5983277060000001,0.559671892,0.5550924470860626,0.6360510334108948,0.658599114507832,0.6614231168428728
229,0.44463782199999996,0.44483367000000007,0.394277508,0.5697269082344341,0.6073755077775469,0.6185940428025339,0.6451185067107269
230,0.48115770199999996,0.47246935600000006,0.47520429000000003,0.6185695389366284,0.6238740404172533,0.6574357247956907,0.6886747126133891
232,0.40363031400000005,0.394558036,0.387698762,0.5302310499307018,0.5559086105505615,0.5637989232902515,0.597315743358602
233,0.521317064,0.5242302839999999,0.48672338000000004,0.6924959737022595,0.6903082121132904,0.7330112798902435,0.7356467783392093
234,0.780377678,0.816883034,0.760208868,0.847379268877999,0.8834802108236871,0.8213342294294531,0.8336251709766392
237,0.537539654,0.539979142,0.545586914,0.5182060957980549,0.5408286837012508,0.5862118924500246,0.6027230815265242
239,0.470827594,0.456651878,0.451214026,0.5858146342657106,0.6189359385048203,0.6712252920943867,0.6776026974115691
240,0.57138012,0.586364376,0.5594836360000001,0.5318109003092775,0.547261508024311,0.658693573964939,0.6614870137500184
243,0.41799866,0.41295863400000005,0.41200434399999997,0.5431455416898533,0.5647994140092926,0.5596884903311146,0.5843120647270855
244,0.462145046,0.43844985000000003,0.44019075599999996,0.5942947945034865,0.622421044200758,0.5838548163821184,0.600975349195327
245,0.59564432,0.598592464,0.58138768,0.6613857930792849,0.6609418638198262,0.743602984880988,0.742392359177479
246,0.6582362479999999,0.67969514,0.648308996,0.72814217037582,0.7540737959668008,0.845921192190948,0.8662515863717785
251,0.614442276,0.614963524,0.583440858,0.6173590305696111,0.6579293260729812,0.7128751645117346,0.7130672401013428
253,0.650724702,0.663723696,0.6327522219999999,0.7397987147208367,0.7714382550180581,0.858104708085287,0.9436700753056464
254,0.743570148,0.78042473,0.754780892,0.7492954027717369,0.8242275233560286,0.8007639100245677,0.8085964326808337
257,0.539960936,0.55610881,0.504887894,0.4467009051088958,0.538818689119508,0.7560200551062889,0.7587988873594761
260,0.5186273100000001,0.522343024,0.49661985399999997,0.5763132185737174,0.5909195130187038,0.7127966496062048,0.7096610377386569
261,0.46813237800000007,0.462086946,0.461549164,0.5952914805091479,0.6315683196113,0.6416530095358902,0.6464678268230418
262,0.6583155460000001,0.6957405,0.658315942,0.7793604571682435,0.8130790998887539,0.8034392711118401,0.8186914893300825
263,0.5309136,0.534307556,0.53120535,0.6303577455325403,0.6442006244028208,0.6897204642482873,0.7004453436126223
264,0.789233304,0.815188604,0.7847403099999999,0.7755668843169551,0.8742382195891059,0.862409167116656,0.9396109676017071
269,0.614712368,0.62713767,0.61518809,0.6681414979121866,0.6660366197919007,0.6930068339863481,0.6925798677670351
270,0.602362852,0.59969943,0.5905574619999999,0.6188424907631431,0.6231321023820611,0.7463015752864506,0.74774344273768
271,0.6226296739999999,0.6296168520000001,0.615717426,0.6791873923284725,0.7520276001448776,0.7235221922904966,0.7206770017208335
272,0.525998168,0.5164956199999999,0.522289626,0.5792741625672303,0.6640833817546743,0.6691790813291645,0.6694998780294513
273,0.582545068,0.6236539179999999,0.57793912,0.646167434930609,0.666078792630359,0.6540171241390624,0.6545132408839173
274,0.44391307199999996,0.43564228800000004,0.429917444,0.6046373692821772,0.613263696784117,0.7204447941862252,0.7200292486885149
275,0.588772692,0.62193984,0.5805438300000001,0.636461333817774,0.6851109923286037,0.7155969837402187,0.7161633817366212
276,0.40795402000000003,0.377000486,0.361286342,0.5232922950172686,0.5659118127674679,0.6056937443871633,0.6288291240736608
278,0.543919042,0.559543688,0.5489909319999999,0.6177585722482176,0.6436461115302686,0.7123862294340146,0.752851350282112
279,0.616730628,0.6362219,0.5985339460000001,0.6977202235869904,0.7677794980156066,0.7250519071010646,0.7270969491557453
280,0.8894654899999999,0.94412433,0.918682926,0.861026246930171,0.9252175212694592,0.8528670010471807,0.8982989920734362
281,0.5704348140000001,0.599063284,0.516548306,0.4264541180145643,0.9899140224026952,0.847235030363354,1.046992544044772
284,0.77326831,0.77771938,0.764138524,0.7251226728830824,0.7658082749527929,0.8090443282137569,0.8209729178782093
285,0.479210054,0.46643168599999996,0.47024503400000006,0.6551840281447936,0.6616357851862095,0.7961655008006114,0.8071409775800764
286,0.406163178,0.392153548,0.371678512,0.5717144985712658,0.593389604451962,0.7086593027902806,0.7118378163917665
288,0.54337456,0.5402544340000001,0.511437784,0.5908250471840654,0.6364672786462845,0.6055774008448133,0.6224933343574319
290,0.617913232,0.614459322,0.623727826,0.6862337221092263,0.6908559395676442,0.7652077960333944,0.7643185485088163
291,0.478021664,0.497006204,0.472124242,0.53530876462075,0.5917799465222547,0.6130462488163145,0.6313980077808569
294,0.570673796,0.578965118,0.57413106,0.6393772776465888,0.671982578517605,0.6705974125172122,0.6758466439185922
297,0.525794532,0.503469544,0.49878292799999996,0.675281804324468,0.6809920206165332,0.702675141505762,0.7027027784031076
298,0.71125223,0.754934052,0.719770502,0.7252086287420607,0.8285996877142414,0.7928281775049758,0.7946937000073031
299,0.42168455,0.404702014,0.42212165200000007,0.5624024980184936,0.5706882575036664,0.6681468081060149,0.6714374890307672
301,0.7796344040000001,0.803834366,0.79833349,0.8440099293934845,0.8759644287296594,0.8869028686407893,0.927617859429866
302,0.495384672,0.47784212000000004,0.462151406,0.6348232510607226,0.6376641297563677,0.7097317942027516,0.7068084684006417
303,0.64960003,0.656509922,0.674815278,0.7006593121241308,0.7789976636616833,0.7824351014224017,0.7863967330934888
304,0.7374804,0.74836134,0.73258301,0.8254032938710358,0.8389899951646611,0.8827014728260377,0.9459387091397397
306,0.5745397999999999,0.5833287140000001,0.574087742,0.6979289893872399,0.699282732421411,0.7956719904283227,0.800266358621263
308,0.60968766,0.606728292,0.58891032,0.6167100949048909,0.6478418463449741,0.6425054983636153,0.6492065304030795
309,0.519846068,0.49337003199999996,0.46687,0.6735493035330202,0.6782068323241858,0.759965220334177,0.7606377373337095
311,0.6718234900000001,0.696162516,0.6783114259999999,0.6946282226726762,0.7264141371920257,0.7217664229106159,0.7230969368624508
313,0.6348786900000001,0.66072171,0.61284274,0.6485306100949904,0.7327429422223444,0.696652865167246,0.7045348456811166
316,0.6272466480000001,0.6319904980000001,0.6157877039999999,0.7353663110338488,0.7411173328581987,0.8378536162624372,0.8600998989236602
317,0.52640025,0.508955772,0.5188504220000001,0.5666443250173528,0.5924312947957917,0.605726171076216,0.6193300908115839
320,0.582944366,0.5870126379999999,0.58687654,0.6646808721662921,0.6672808524220379,0.6954252465518683,0.697546451105588
321,0.506168878,0.47808839599999997,0.46561992199999996,0.6547888429532133,0.6721757820848488,0.826908183366905,0.8224835979031213
322,0.519136678,0.52766159,0.517521994,0.6012721476545151,0.6309551200163573,0.6502981079068203,0.6649200771768748
323,0.444368984,0.42866554399999995,0.42405925599999994,0.5824357813484136,0.591735282438455,0.6849162622578572,0.6953362078366218
324,0.57077547,0.571550534,0.5674559,0.6670968890053223,0.7052376722691711,0.6953211997208579,0.6968396559573823
325,0.44986660599999995,0.45830158,0.43745630999999996,0.6468600645954778,0.6665555397207261,0.6851204850116783,0.6949418081097982
326,0.433364514,0.41610654799999997,0.429665006,0.5241020965793225,0.5384243013708642,0.5573896002349634,0.5789430604876058
331,0.4610467160000001,0.44134497800000005,0.439977496,0.6206858648482344,0.6260914079628721,0.7267775059979488,0.7291536448422249
332,0.380503818,0.372926898,0.353121714,0.5919441468582731,0.6123482473355853,0.5949569769257793,0.6230986647694549
333,0.324971968,0.35089674,0.309082154,0.4288419363310861,0.4902579870708833,0.5151519908503164,0.5699709392642957
335,0.45452439599999994,0.479142654,0.45265805,0.502759076886537,0.5761534375706957,0.6226756468371399,0.6272241664040039
338,0.5146215279999999,0.49364028,0.5094484180000001,0.6232685787615898,0.6249145222390606,0.6569367107859522,0.6651828627445341
339,0.737299994,0.739594214,0.7098666720000001,0.7357771350994647,0.7799274775893739,0.8041264945128538,0.8077559574938977
343,0.7338751699999999,0.765009828,0.68548604,0.7953394625674095,0.8876988275783129,0.8505473825306153,0.8837115685431861
346,0.777311272,0.799752028,0.777126814,0.847382246241869,0.8939832030616665,0.837028183232309,0.8854386479982703
347,0.434876062,0.418105168,0.394419516,0.554755108028192,0.5661618840727676,0.5859540258019336,0.6098526286866357
349,0.617213128,0.629693536,0.623845718,0.6306995752408269,0.6801685181826906,0.6438569407786148,0.6531528344485777
