subid,nll_idrnn_task0,nll_idrnn_task1,nll_idrnn_all,nll_cp_rnn_task0,nll_cp_rnn_task1,nll_cp_rnn_all,nll_vanilla_task0,nll_vanilla_task1,nll_vanilla_all,nll_cog_em,nll_cog_cp,nll_ill_em,nll_ill_cp
21,0.35707521438598633,0.445040762424469,0.39226141571998596,0.3917376399040222,0.44824928045272827,0.41434234380722046,0.3403260111808777,0.45784252882003784,0.38733258843421936,0.50886935965452,0.5535891971815949,0.5288276637977171,0.5732279640272697
23,0.3967503309249878,0.8051669001579285,0.5601170063018799,0.41641339659690857,0.8005875945091248,0.5700830817222595,0.3708462119102478,0.7736726999282837,0.5319767594337463,0.669658071867696,0.7070203792805967,0.7969097291585548,0.8015333599721871
24,0.43115317821502686,0.8829518556594849,0.611872673034668,0.4156619608402252,0.9033241868019104,0.6107268929481506,0.42813435196876526,0.8939213156700134,0.614449143409729,0.6776676925337801,0.7263553605104102,0.7139670070411136,0.7125867666596598
25,0.4663724899291992,0.5373461842536926,0.49476194381713867,0.41932952404022217,0.531776487827301,0.4643082916736603,0.39902767539024353,0.5407106876373291,0.45570090413093567,0.5463117805104387,0.56190739093083,0.5646815709115304,0.5957908694576594
26,0.48575013875961304,1.113817572593689,0.7369772791862488,0.4935234487056732,1.1297558546066284,0.748016357421875,0.4727407693862915,1.1116265058517456,0.7282950282096863,0.82078725898279,0.8513897989363193,0.8417794884483447,0.866991162041706
27,0.4913378059864044,1.064143419265747,0.7204599976539612,0.5137056112289429,1.1072596311569214,0.7511272430419922,0.5199296474456787,1.0824697017669678,0.7449456453323364,0.7553531131854275,0.7920281342317327,0.7708552748659815,0.7739269917438156
28,0.5311836004257202,0.8327162265777588,0.6517966389656067,0.5231463313102722,0.8324068188667297,0.6468504667282104,0.5223007798194885,0.8415573239326477,0.6500033736228943,0.7201609469590388,0.7186483254885974,0.7494435399945157,0.7469194932298098
29,0.4071061909198761,0.5892531871795654,0.4799650013446808,0.38284942507743835,0.584732711315155,0.4636027216911316,0.3809358775615692,0.5591577887535095,0.4522246718406677,0.4416053088101074,0.4886952893289919,0.4390761283407125,0.5142789863013505
31,0.5847479104995728,0.41582876443862915,0.5171802043914795,0.5275644063949585,0.433937668800354,0.4901137351989746,0.5003097653388977,0.4148505628108978,0.46612605452537537,0.5403777253837205,0.5663670068467695,0.5849818645195425,0.6074620842837612
32,0.42261162400245667,0.8024526834487915,0.5745479464530945,0.41370365023612976,0.8065234422683716,0.5708315968513489,0.42061135172843933,0.8182879090309143,0.5796819925308228,0.6568067480184826,0.6817359770640317,0.6900140323235677,0.6943286005617
33,0.5411802530288696,0.8114318251609802,0.649280846118927,0.5714515447616577,0.8174821138381958,0.669863760471344,0.5550627112388611,0.812957227230072,0.6582205295562744,0.6829874099974664,0.7370616945966968,0.740798668353838,0.7460279163384109
34,0.4217784106731415,0.592739999294281,0.49016302824020386,0.44276970624923706,0.5972146391868591,0.504547655582428,0.42397552728652954,0.5810479521751404,0.4868045151233673,0.5945760123502775,0.5993355678835537,0.6268579798228315,0.6371987809439806
35,0.5451238751411438,0.7601894736289978,0.6311501264572144,0.5304217338562012,0.7583625316619873,0.6215980052947998,0.5256978869438171,0.7390527129173279,0.6110397577285767,0.6814223155646584,0.6823157090643756,0.706816317751341,0.706625701540398
36,0.46946945786476135,0.6954705715179443,0.5598699450492859,0.47822272777557373,0.6939070820808411,0.5644965767860413,0.4635656774044037,0.6603125333786011,0.5422644019126892,0.6430080973696654,0.6542740114491009,0.6558301333449796,0.664965695875537
37,0.38562411069869995,0.41289424896240234,0.3965321481227875,0.40089136362075806,0.43047845363616943,0.4127262234687805,0.3836318552494049,0.42369163036346436,0.3996557891368866,0.5637882881440928,0.5914191356376854,0.7688215283483706,0.7673979939156461
38,0.3084618151187897,0.4654160439968109,0.37124350666999817,0.3125351071357727,0.46788641810417175,0.3746756315231323,0.29584500193595886,0.465359628200531,0.3636508285999298,0.5966962533195145,0.611263055973772,0.7390728598858132,0.7368839438833652
40,0.468948096036911,0.5619539022445679,0.5061504244804382,0.4615550637245178,0.5641025900840759,0.50257408618927,0.3945978283882141,0.5373855233192444,0.4517129063606262,0.5533197615234275,0.5882283956491449,0.6028939410970012,0.6247863643078821
41,0.7913081645965576,0.5057775378227234,0.6770958304405212,0.7768652439117432,0.501484215259552,0.666712760925293,0.7428659796714783,0.48961931467056274,0.6415673494338989,0.6322645000246004,0.6721250699648038,0.7627977992723198,0.7628893147944007
42,0.39581456780433655,0.7350794672966003,0.5315206050872803,0.402982234954834,0.7372518181800842,0.5366900563240051,0.3873986005783081,0.7037926316261292,0.5139562487602234,0.6098653428060821,0.663824127045393,0.6834068129838353,0.6826665013412021
46,0.2987692952156067,0.7534725666046143,0.48065054416656494,0.2852410078048706,0.7535825371742249,0.47257766127586365,0.3029419481754303,0.7667868733406067,0.48847994208335876,0.676455628326191,0.7295993041507808,0.7154658869675411,0.7151993176440314
