dataset_id,fold,session,nll_summed
2,2,65,81.68697357177734
3,0,0,108.28285217285156
3,0,1,69.54429626464844
3,0,2,132.69210815429688
3,0,3,77.62940979003906
3,0,4,129.5751953125
3,0,5,80.95720672607422
3,0,6,65.81351470947266
3,0,7,94.84033203125
3,0,8,123.02754211425781
3,0,9,96.7765121459961
3,0,10,102.77610778808594
3,0,11,124.0289306640625
3,0,12,87.36714935302734
3,0,13,109.62125396728516
3,0,14,93.0741195678711
3,0,15,130.1352996826172
3,0,16,121.4922866821289
3,0,17,131.8611297607422
3,0,18,69.8007583618164
3,0,19,115.2946548461914
3,0,20,120.83451080322266
3,0,21,124.3237533569336
3,0,22,130.3753204345703
3,0,23,128.0130157470703
3,0,24,72.1825180053711
3,0,25,89.72877502441406
3,0,26,71.08775329589844
3,0,27,96.87786865234375
3,0,28,86.32257843017578
3,0,29,99.30812072753906
3,0,30,83.1739730834961
3,0,31,65.73567199707031
3,0,32,133.22801208496094
3,0,33,127.3216323852539
3,0,34,134.82765197753906
3,0,35,145.14810180664062
3,0,36,74.27635192871094
3,0,37,103.23869323730469
3,0,38,129.3798065185547
3,0,39,77.30393981933594
3,0,40,94.83251953125
3,0,41,106.2861557006836
3,0,42,69.52518463134766
3,0,43,89.64363098144531
3,0,44,131.04763793945312
3,0,45,125.07002258300781
3,0,46,138.2824249267578
3,0,47,64.98567199707031
3,0,48,91.08345031738281
3,0,49,87.72139739990234
3,0,50,69.6522216796875
3,0,51,141.1696319580078
3,0,52,82.75849914550781
3,0,53,136.4276885986328
3,0,54,107.3756103515625
3,0,55,143.28395080566406
3,0,56,84.85990142822266
3,0,57,89.57893371582031
3,0,58,127.21626281738281
3,0,59,128.95916748046875
3,0,60,90.20401000976562
3,0,61,77.01970672607422
3,0,62,133.83047485351562
3,0,63,78.36280822753906
3,0,64,63.0687255859375
3,0,65,91.7375717163086
3,0,66,138.90768432617188
3,1,0,126.16108703613281
3,1,1,80.45311737060547
3,1,2,100.26996612548828
3,1,3,140.5565643310547
3,1,4,115.2514877319336
3,1,5,86.72711944580078
3,1,6,66.58457946777344
3,1,7,85.91665649414062
3,1,8,127.74742126464844
3,1,9,95.62300872802734
3,1,10,142.1457061767578
3,1,11,75.88829040527344
3,1,12,128.36331176757812
3,1,13,126.7774429321289
3,1,14,125.81800842285156
3,1,15,78.86814880371094
3,1,16,105.68046569824219
3,1,17,122.64449310302734
3,1,18,93.35923767089844
3,1,19,135.51100158691406
3,1,20,93.77345275878906
3,1,21,89.94021606445312
3,1,22,101.9481201171875
3,1,23,138.58163452148438
3,1,24,85.23173522949219
3,1,25,123.5052719116211
3,1,26,106.59330749511719
3,1,27,62.4715461730957
3,1,28,82.55912780761719
3,1,29,136.86383056640625
3,1,30,125.63652038574219
3,1,31,147.2232208251953
3,1,32,87.78392028808594
3,1,33,119.32722473144531
3,1,34,141.7923126220703
3,1,35,138.5786895751953
3,1,36,80.38069152832031
3,1,37,85.18522644042969
3,1,38,126.35273742675781
3,1,39,52.407554626464844
3,1,40,124.74400329589844
3,1,41,92.08920288085938
3,1,42,139.2694549560547
3,1,43,135.9187469482422
3,1,44,132.23165893554688
3,1,45,79.46544647216797
3,1,46,140.1892547607422
3,1,47,116.14237213134766
3,1,48,85.79695129394531
3,1,49,68.37626647949219
3,1,50,67.83113098144531
3,1,51,133.9637908935547
3,1,52,107.0085220336914
3,1,53,130.00021362304688
3,1,54,132.9510040283203
3,1,55,70.07781982421875
3,1,56,129.99746704101562
3,1,57,87.18168640136719
3,1,58,92.56678771972656
3,1,59,103.80525207519531
3,1,60,101.774169921875
3,1,61,92.8432846069336
3,1,62,100.0019760131836
3,1,63,140.02687072753906
3,1,64,87.87726593017578
3,1,65,75.06510162353516
3,1,66,89.01422119140625
3,2,0,135.40206909179688
3,2,1,80.29652404785156
3,2,2,118.77995300292969
3,2,3,78.20928955078125
3,2,4,115.00407409667969
3,2,5,105.26033020019531
3,2,6,120.12001037597656
3,2,7,128.01760864257812
3,2,8,122.15962219238281
3,2,9,123.6263198852539
3,2,10,138.5487518310547
3,2,11,66.7558822631836
3,2,12,128.42813110351562
3,2,13,112.63895416259766
3,2,14,82.17472076416016
3,2,15,72.42979431152344
3,2,16,137.7108154296875
3,2,17,77.78211975097656
3,2,18,141.392333984375
3,2,19,136.3974609375
3,2,20,101.68624114990234
3,2,21,63.323448181152344
3,2,22,136.01589965820312
3,2,23,90.64572143554688
3,2,24,79.2164077758789
3,2,25,90.3570785522461
3,2,26,100.17794036865234
3,2,27,131.1707000732422
3,2,28,133.837158203125
3,2,29,128.3986358642578
3,2,30,125.83378601074219
3,2,31,78.50469970703125
3,2,32,106.2162094116211
3,2,33,73.84285736083984
3,2,34,139.15640258789062
3,2,35,84.72577667236328
3,2,36,71.8116683959961
3,2,37,83.60074615478516
3,2,38,134.997314453125
3,2,39,128.46566772460938
3,2,40,128.6302032470703
3,2,41,95.67932891845703
3,2,42,70.24617004394531
3,2,43,74.79283905029297
3,2,44,134.2251434326172
3,2,45,87.97987365722656
3,2,46,95.54225158691406
3,2,47,83.02561950683594
3,2,48,136.55941772460938
3,2,49,52.550071716308594
3,2,50,72.5657730102539
3,2,51,120.7350845336914
3,2,52,132.57518005371094
3,2,53,114.17476654052734
3,2,54,49.11519241333008
3,2,55,74.82756042480469
3,2,56,135.26138305664062
