dataset_id,seed,split,model,feature,n_features,latent_dim,acc_mean,acc_std
3,50,train_data,vanilla_h_PCA3,mean,3,10,0.75,0.022360679774997918
3,50,train_data,common_process_h_PCA3,mean,3,10,0.805,0.03674234614174766
3,50,train_data,informed_decoder_h_PCA3,mean,3,10,0.7450000000000001,0.08717797887081345
3,50,test_data,IDRNN_mu,mean,3,3,0.585,0.05147815070493501
3,50,test_data,vanilla_h,mean,10,10,0.8150000000000001,0.05830951894845301
3,50,test_data,common_process_h,mean,10,10,0.905,0.018708286933869726
3,50,test_data,informed_decoder_h,mean,10,10,0.8099999999999999,0.04358898943540673
3,50,test_data,vanilla_h_PCA3,mean,3,10,0.7549999999999999,0.048476798574163295
3,50,test_data,common_process_h_PCA3,mean,3,10,0.89,0.06041522986797285
3,50,test_data,informed_decoder_h_PCA3,mean,3,10,0.7950000000000002,0.08860022573334675
3,76,train_data,IDRNN_mu,mean,3,3,0.665,0.06442049363362562
3,76,train_data,vanilla_h,mean,10,10,0.86,0.07516648189186455
3,76,train_data,common_process_h,mean,10,10,0.8450000000000001,0.05338539126015656
3,76,train_data,informed_decoder_h,mean,10,10,0.79,0.03741657386773941
3,76,train_data,vanilla_h_PCA3,mean,3,10,0.7849999999999999,0.05385164807134504
3,76,train_data,common_process_h_PCA3,mean,3,10,0.8150000000000001,0.046368092477478515
3,76,train_data,informed_decoder_h_PCA3,mean,3,10,0.725,0.03162277660168382
3,76,test_data,IDRNN_mu,mean,3,3,0.685,0.06442049363362563
3,76,test_data,vanilla_h,mean,10,10,0.8700000000000001,0.04301162633521314
3,76,test_data,common_process_h,mean,10,10,0.9049999999999999,0.02915475947422653
3,76,test_data,informed_decoder_h,mean,10,10,0.8350000000000002,0.06819090848492929
3,76,test_data,vanilla_h_PCA3,mean,3,10,0.765,0.07516648189186453
3,76,test_data,common_process_h_PCA3,mean,3,10,0.85,0.035355339059327376
3,76,test_data,informed_decoder_h_PCA3,mean,3,10,0.7,0.0570087712549569
3,100,train_data,IDRNN_mu,mean,3,3,0.64,0.05830951894845299
3,100,train_data,vanilla_h,mean,10,10,0.8399999999999999,0.06041522986797283
3,100,train_data,common_process_h,mean,10,10,0.8150000000000001,0.037416573867739396
3,100,train_data,informed_decoder_h,mean,10,10,0.785,0.0717635004720366
3,100,train_data,vanilla_h_PCA3,mean,3,10,0.835,0.0717635004720366
3,100,train_data,common_process_h_PCA3,mean,3,10,0.8049999999999999,0.043011626335213125
3,100,train_data,informed_decoder_h_PCA3,mean,3,10,0.7750000000000001,0.047434164902525694
3,100,test_data,IDRNN_mu,mean,3,3,0.6199999999999999,0.02915475947422653
3,100,test_data,vanilla_h,mean,10,10,0.875,0.022360679774997918
3,100,test_data,common_process_h,mean,10,10,0.8699999999999999,0.02915475947422653
3,100,test_data,informed_decoder_h,mean,10,10,0.835,0.053851648071345036
3,100,test_data,vanilla_h_PCA3,mean,3,10,0.89,0.025495097567963948
