T,model,dim,r2,r2_lo,r2_hi,auc,auc_lo,auc_hi
15,idrnn_step2_mean,1,0.12253263502030608,0.03868617579287039,0.27312107377775663,0.5554846090403597,0.4786405681933323,0.6222419301078057
15,idrnn_step2_last,1,0.1515243799886687,0.05805642323173979,0.304241438864384,0.5601160862354891,0.4819573201595994,0.638741055273661
20,vanilla_mean,1,0.12221590217013938,0.04026041261299174,0.2684482471071398,0.5718510832646039,0.506055497069118,0.6490580310762798
20,vanilla_mean_full,15,0.062001260184659894,0.03471389612514545,0.13447658585322628,0.6036417733081474,0.5289295634897859,0.6763782530071747
20,vanilla_last,1,0.0455805561830169,0.007631903341911149,0.16786064709323006,0.5158277241244758,0.445742423605348,0.5901519343340086
20,vanilla_last_full,15,0.05050635947401049,0.034475244661312826,0.10949561010301712,0.5937757735387236,0.5038983428679983,0.6726780378863711
20,idrnn_step2_mean,1,0.1385926144738611,0.04471195327747115,0.28100544482582906,0.5540146859286456,0.47723474487025236,0.624548696304633
20,idrnn_step2_last,1,0.12537209491342094,0.04903132981159328,0.27645120690471753,0.5234478232722307,0.4445031576816109,0.6078798124195905
30,vanilla_mean,1,0.12505594050915783,0.0372517592357056,0.2679987443274217,0.5901619354209345,0.5103468118014305,0.6593387395913718
30,vanilla_mean_full,15,0.06559443562150584,0.03411651085339097,0.1484597057209304,0.5786841195094049,0.5059165379245453,0.6580426397257796
30,vanilla_last,1,0.02106253262175245,0.0010939210826463057,0.1339386493286714,0.4616511914580396,0.3854330335187556,0.5318725388062946
30,vanilla_last_full,15,0.02998439114241786,0.023244583809501316,0.08706694006218624,0.5343514158263939,0.4625095839873458,0.6132382861590212
30,idrnn_step2_mean,1,0.13283798764493507,0.04348404768302374,0.30053584560642976,0.5628985198783267,0.488661120168357,0.6380177662686909
30,idrnn_step2_last,1,0.09488640776687345,0.025791683949073652,0.2462686056362293,0.5772496696552886,0.49376601098901374,0.6572120146620956
40,vanilla_mean,1,0.10137517918436198,0.02517666831634036,0.2381982960706077,0.5910177277604846,0.5149189252713013,0.658024856746756
40,vanilla_mean_full,15,0.05612515788921505,0.024605367252095636,0.13841417073450288,0.5729795762719381,0.4985392013212135,0.6483434582799784
40,vanilla_last,1,0.013098609886888065,0.0013783220489646947,0.12304184329649996,0.42692065519106787,0.3374211822027635,0.5173739361748873
40,vanilla_last_full,15,0.035101710067370916,0.02445397771137587,0.10160534819537613,0.5779813055932458,0.48628392720803787,0.6608076253325768
