subid,nll_idrnn_task0,nll_idrnn_task1,nll_idrnn_all,nll_cp_rnn_task0,nll_cp_rnn_task1,nll_cp_rnn_all,nll_vanilla_task0,nll_vanilla_task1,nll_vanilla_all,nll_cog_em,nll_cog_cp,nll_ill_em,nll_ill_cp
48,0.5091298222541809,0.5046455264091492,0.5073360800743103,0.4911820590496063,0.5232071876525879,0.5039921998977661,0.46775856614112854,0.500786542892456,0.48096975684165955,0.5774152448023193,0.5931289495345139,0.7231913839597682,0.721901832547935
49,0.4220521152019501,0.774351179599762,0.562971830368042,0.4543713331222534,0.7807567715644836,0.5849255323410034,0.3712367117404938,0.6734869480133057,0.49213680624961853,0.6866594741803452,0.6936604958302228,0.7378793052548632,0.7365449646902008
51,0.7234604954719543,0.5784022808074951,0.6654373407363892,0.6099851727485657,0.5731041431427002,0.5952327847480774,0.5575225353240967,0.5241534113883972,0.5441749095916748,0.5808215871608545,0.6019878984027953,0.6803858047614978,0.6775352239965173
52,0.4657035768032074,0.4682602882385254,0.46672624349594116,0.45613765716552734,0.4756397604942322,0.46393856406211853,0.4079957604408264,0.4644518196582794,0.4305781424045563,0.4924194653988257,0.5398299256144601,0.5452027986931216,0.5780837176602699
53,0.5222225785255432,0.631226122379303,0.5658240914344788,0.5010709762573242,0.6303001642227173,0.5527626872062683,0.44185635447502136,0.624424934387207,0.514883816242218,0.6322640745558213,0.6367103044023534,0.6766438419166939,0.7051400677094296
55,0.6017237305641174,0.7927563190460205,0.6781367063522339,0.6436778903007507,0.7995229959487915,0.7060158848762512,0.5302272439002991,0.7293217778205872,0.6098650693893433,0.6384070552073948,0.6778629629324644,0.6887264497790869,0.6876584480502165
56,0.5761795043945312,0.47716161608695984,0.5365723967552185,0.5182386040687561,0.47108811140060425,0.499378502368927,0.4438500702381134,0.4596616327762604,0.4501746892929077,0.472254313113584,0.4991836776934209,0.5415944697662803,0.5757584077101997
59,0.48420268297195435,0.6959332823753357,0.5688949227333069,0.4862614870071411,0.689331591129303,0.5674895644187927,0.44623950123786926,0.682159423828125,0.5406075119972229,0.6008076587550777,0.5998642045539819,0.6400482194692549,0.6521240033304885
60,0.5219762921333313,0.7416860461235046,0.6098601818084717,0.5838508605957031,0.7479518055915833,0.6494912505149841,0.43219608068466187,0.6565150022506714,0.5219236612319946,0.6246316919336968,0.6648891554332585,0.6708468940621654,0.6747181822687385
61,0.46933841705322266,0.6028116345405579,0.5227277278900146,0.49625226855278015,0.604340672492981,0.5394876599311829,0.39058414101600647,0.5297335982322693,0.4462439715862274,0.5672682351613572,0.5863574210329985,0.6217872588548012,0.636681254494569
